Travessa Horizontal,Carga,Tempo,Tensao,Deformação,Derivada
4.27356595173478,54741.89453125,128.225006103516,810.9910300925926,0.09230164042623716,-9066.250015877187
4.27409261465073,54735.58984375,128.244995117188,810.8976273148148,0.09231301543522095,-10839.435491196811
4.27461974322796,54725.23828125,128.264999389648,810.7442708333333,0.09232440050168379,-10669.23129556328
4.27514687180519,54719.19140625,128.285003662109,810.6546875,0.09233578556814666,-7545.393527563661
4.27575502544641,54712.83203125,128.304992675781,810.5604745370371,0.09234892063599158,-6212.725666161627
4.27636364474893,54708.171875,128.324996948242,810.4914351851852,0.09236206576131598,-3398.551210336387
4.27697179839015,54706.80078125,128.345001220703,810.4711226851852,0.09237520082916091,-734.027757152915
4.27766097709537,54706.98828125,128.365005493164,810.473900462963,0.09239008589838812,83.58798632398248
4.27835015580058,54706.96875,128.384994506836,810.4736111111112,0.09240497096761513,554.0133977085352
4.2790393345058,54708.1015625,128.404998779297,810.4903935185185,0.09241985603684234,446.6528077721596
4.27968800067902,54707.91796875,128.425003051758,810.4876736111111,0.0924338661053784,-1242.1203585080802
4.28033713251352,54705.75,128.445007324219,810.4555555555555,0.09244788623139354,-1445.5909963808954
4.28102631121874,54705.19921875,128.464996337891,810.4473958333333,0.09246277130062075,-116.63439951092005
4.28171548992395,54705.515625,128.485000610352,810.4520833333333,0.09247765636984773,33.04641320556402
4.28240466862917,54705.265625,128.505004882813,810.4483796296296,0.09249254143907495,298.8904492482543
4.28309431299567,54706.1171875,128.524993896484,810.4609953703704,0.09250743656578121,-374.9170832596719
4.28374297916889,54704.67578125,128.544998168945,810.4396412037037,0.09252144663431729,-2129.3383290171623
4.28439164534211,54702.08984375,128.565002441406,810.4013310185185,0.09253545670285335,-4186.199782036245
4.28495928645134,54697.57421875,128.585006713867,810.3344328703704,0.09254771677000734,-5926.252204608172
4.28552692756057,54692.28125,128.604995727539,810.2560185185185,0.09255997683716134,-6885.354217924178
4.2860540561378,54686.640625,128.625,810.1724537037037,0.0925713619036242,-6255.740753676742
4.28666220977902,54682.203125,128.645004272461,810.106712962963,0.09258449697146912,-4156.163573645055
4.28731087595224,54679.12890625,128.664993286133,810.0611689814815,0.09259850704000519,-1774.529315572232
4.28800005465746,54678.921875,128.684997558594,810.0581018518518,0.0926133921092324,704.7339490391314
4.28873021155596,54680.69921875,128.705001831055,810.0844328703704,0.0926291622366298,2004.7534152567387
4.28941939026117,54683.03125,128.725006103516,810.1189814814815,0.0926440473058568,2238.813344910741
4.29014908149838,54685.3203125,128.744995117188,810.1528935185186,0.09265980737577495,1670.9807932190597
4.2908382602036,54686.54296875,128.764999389648,810.1710069444445,0.09267469244500216,187.24771613627672
4.2915279045701,54685.6953125,128.785003662109,810.158449074074,0.09268958757170843,-359.1745323948562
4.29221708327532,54685.8203125,128.804992675781,810.160300925926,0.09270447264093565,344.9408423900604
4.29298728704453,54686.484375,128.824996948242,810.1701388888889,0.09272110771154492,2287.3223332054913
4.29375749081373,54690.95703125,128.845001220703,810.2364004629629,0.092737742782154,5106.278997078538
